entry_ts,status,session,zone,near_vwap,confidence,contracts,risk_pct,entry,entry_fill,stop,target,macd,rsi,vix,rvol,news_sent,news_burst,exit_ts,exit_price,bars_held,pnl
2026-06-11 10:20,WIN,AM,DEEP,True,84,1,0.03,28830.5,28830.75,28676.26,29216.09,-2.526,52.4,21.7,0.68,0.0,False,2026-06-11 12:30,29216.09,26.0,769.18
2026-06-17 09:15,LOSS,AM,DEEP,True,85,3,0.06,30469.0,30469.25,30381.9,30686.76,-3.866,51.5,16.5,1.19,0.072,True,2026-06-17 09:40,30381.65,5.0,-530.1
2026-06-17 10:15,LOSS,AM,DEEP,True,85,2,0.06,30423.25,30423.5,30318.66,30684.73,-2.863,49.1,16.9,0.67,0.072,True,2026-06-17 13:00,30318.41,33.0,-423.36
2026-06-24 09:25,LOSS,AM,MID,True,100,2,0.06,29706.5,29706.75,29580.65,30021.12,-1.986,48.4,18.8,1.19,0.016,True,2026-06-24 12:05,29580.4,32.0,-508.4
2026-06-26 14:10,LOSS,PM,DEEP,True,76,1,0.03,29501.75,29502.0,29423.05,29698.51,-2.173,48.7,18.8,1.26,-0.067,False,2026-06-26 14:50,29422.8,8.0,-159.9
2026-07-06 13:10,LOSS,PM,MID,True,93,3,0.06,29948.75,29949.0,29894.66,30083.99,-1.512,45.3,15.8,0.67,0.0,False,2026-07-06 17:55,29894.41,45.0,-332.04
2026-07-16 10:30,LOSS,AM,MID,True,99,3,0.06,29438.75,29439.0,29346.74,29668.78,-0.742,52.9,15.9,0.75,-0.068,False,2026-07-16 11:00,29346.49,6.0,-559.56
2026-08-06 14:30,LOSS,PM,MID,True,93,3,0.06,29538.5,29538.75,29484.73,29672.92,-1.242,52.1,15.3,1.46,0.002,False,2026-08-06 14:50,29484.48,4.0,-330.12
2026-08-19 09:35,EXPIRED_LOSS,AM,DEEP,True,82,1,0.03,29565.5,29565.75,29467.03,29811.67,-3.464,52.4,15.2,0.88,0.211,False,2026-08-19 13:35,29541.75,48.0,-49.5
2026-08-31 09:15,OPEN,AM,MID,True,100,3,0.06,29417.75,29418.0,29357.27,29568.95,-0.655,49.4,15.3,1.23,-0.434,False,,,,
2026-08-31 09:35,OPEN,AM,DEEP,True,84,2,0.03,29407.25,29407.5,29345.34,29562.03,-2.111,49.3,15.2,0.97,-0.434,False,,,,
2026-08-31 14:05,OPEN,PM,DEEP,True,76,3,0.03,29421.75,29422.0,29388.88,29503.92,-3.144,50.2,15.0,0.75,-0.434,False,,,,
2026-08-31 14:10,OPEN,PM,MID,True,92,3,0.06,29425.5,29425.75,29393.4,29505.75,-1.883,51.6,15.0,0.91,-0.434,False,,,,
2026-08-31 14:15,OPEN,PM,MID,True,92,3,0.06,29422.0,29422.25,29390.96,29499.6,-1.216,50.2,15.0,0.59,-0.434,False,,,,
